"condition","x_group","transportation_mode","n","cell_total","percent","label"
"Baseline","Near/Moderate Transit Proximity","Other",0,81,0,""
"Baseline","Near/Moderate Transit Proximity","Public Transit",81,81,100,"81 (100.0%)"
"Baseline","Near/Moderate Transit Proximity","Ride with family/friend",0,81,0,""
"Baseline","Near/Moderate Transit Proximity","Taxi/Uber",0,81,0,""
"Baseline","Near/Moderate Transit Proximity","Walking",0,81,0,""
"Baseline","Transit Desert (Far/No Stop)","Other",0,9,0,""
"Baseline","Transit Desert (Far/No Stop)","Public Transit",8,9,88.9,"8 (88.9%)"
"Baseline","Transit Desert (Far/No Stop)","Ride with family/friend",1,9,11.1,"1 (11.1%)"
"Baseline","Transit Desert (Far/No Stop)","Taxi/Uber",0,9,0,""
"Baseline","Transit Desert (Far/No Stop)","Walking",0,9,0,""
"Spatially grounded","Near/Moderate Transit Proximity","Other",0,81,0,""
"Spatially grounded","Near/Moderate Transit Proximity","Public Transit",76,81,93.8,"76 (93.8%)"
"Spatially grounded","Near/Moderate Transit Proximity","Ride with family/friend",3,81,3.7,"3 (3.7%)"
"Spatially grounded","Near/Moderate Transit Proximity","Taxi/Uber",0,81,0,""
"Spatially grounded","Near/Moderate Transit Proximity","Walking",2,81,2.5,"2 (2.5%)"
"Spatially grounded","Transit Desert (Far/No Stop)","Other",0,9,0,""
"Spatially grounded","Transit Desert (Far/No Stop)","Public Transit",8,9,88.9,"8 (88.9%)"
"Spatially grounded","Transit Desert (Far/No Stop)","Ride with family/friend",1,9,11.1,"1 (11.1%)"
"Spatially grounded","Transit Desert (Far/No Stop)","Taxi/Uber",0,9,0,""
"Spatially grounded","Transit Desert (Far/No Stop)","Walking",0,9,0,""
