"condition","x_group","transportation_mode","n","cell_total","percent","label"
"Baseline","Good/Moderate Transit Access","Other",0,82,0,""
"Baseline","Good/Moderate Transit Access","Public Transit",81,82,98.8,"81 (98.8%)"
"Baseline","Good/Moderate Transit Access","Ride with family/friend",1,82,1.2,"1 (1.2%)"
"Baseline","Good/Moderate Transit Access","Taxi/Uber",0,82,0,""
"Baseline","Good/Moderate Transit Access","Walking",0,82,0,""
"Baseline","Limited/No Transit Access","Other",0,8,0,""
"Baseline","Limited/No Transit Access","Public Transit",8,8,100,"8 (100.0%)"
"Baseline","Limited/No Transit Access","Ride with family/friend",0,8,0,""
"Baseline","Limited/No Transit Access","Taxi/Uber",0,8,0,""
"Baseline","Limited/No Transit Access","Walking",0,8,0,""
"Spatially grounded","Good/Moderate Transit Access","Other",0,82,0,""
"Spatially grounded","Good/Moderate Transit Access","Public Transit",82,82,100,"82 (100.0%)"
"Spatially grounded","Good/Moderate Transit Access","Ride with family/friend",0,82,0,""
"Spatially grounded","Good/Moderate Transit Access","Taxi/Uber",0,82,0,""
"Spatially grounded","Good/Moderate Transit Access","Walking",0,82,0,""
"Spatially grounded","Limited/No Transit Access","Other",0,8,0,""
"Spatially grounded","Limited/No Transit Access","Public Transit",2,8,25,"2 (25.0%)"
"Spatially grounded","Limited/No Transit Access","Ride with family/friend",4,8,50,"4 (50.0%)"
"Spatially grounded","Limited/No Transit Access","Taxi/Uber",0,8,0,""
"Spatially grounded","Limited/No Transit Access","Walking",2,8,25,"2 (25.0%)"
